ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000042156	Dzip1	GO:0051220	cytoplasmic sequestering of protein	cytoplasmic_sequestering_of_protein
ENSMUSG00000027466	Rbck1	GO:0051220	cytoplasmic sequestering of protein	cytoplasmic_sequestering_of_protein
ENSMUSG00000031328	Flna	GO:0051220	cytoplasmic sequestering of protein	cytoplasmic_sequestering_of_protein
ENSMUSG00000033278	Ptprm	GO:0051220	cytoplasmic sequestering of protein	cytoplasmic_sequestering_of_protein
ENSMUSG00000034675	Dbn1	GO:0051220	cytoplasmic sequestering of protein	cytoplasmic_sequestering_of_protein
ENSMUSG00000073616	Cops9	GO:0051220	cytoplasmic sequestering of protein	cytoplasmic_sequestering_of_protein
ENSMUSG00000018326	Ywhab	GO:0051220	cytoplasmic sequestering of protein	cytoplasmic_sequestering_of_protein
ENSMUSG00000040021	Lats1	GO:0051220	cytoplasmic sequestering of protein	cytoplasmic_sequestering_of_protein
ENSMUSG00000025858	Get4	GO:0051220	cytoplasmic sequestering of protein	cytoplasmic_sequestering_of_protein
ENSMUSG00000029554	Mad1l1	GO:0051220	cytoplasmic sequestering of protein	cytoplasmic_sequestering_of_protein
ENSMUSG00000101645	Gm28635	GO:0051220	cytoplasmic sequestering of protein	cytoplasmic_sequestering_of_protein
ENSMUSG00000034101	Ctnnd1	GO:0051220	cytoplasmic sequestering of protein	cytoplasmic_sequestering_of_protein
