ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000095634	Gm20816	GO:0005829	cytosol	cytosol
ENSMUSG00000094575	Gm20738	GO:0005829	cytosol	cytosol
ENSMUSG00000096898	Gm20867	GO:0005829	cytosol	cytosol
ENSMUSG00000094739	Gm20806	GO:0005829	cytosol	cytosol
ENSMUSG00000095650	Gm20854	GO:0005829	cytosol	cytosol
ENSMUSG00000094729	Gm20747	GO:0005829	cytosol	cytosol
ENSMUSG00000093950	Gm20823	GO:0005829	cytosol	cytosol
ENSMUSG00000095785	Gm20924	GO:0005829	cytosol	cytosol
ENSMUSG00000096666	Gm20852	GO:0005829	cytosol	cytosol
ENSMUSG00000095302	Ssty2	GO:0005829	cytosol	cytosol
ENSMUSG00000093868	Gm20809	GO:0005829	cytosol	cytosol
ENSMUSG00000093927	Gm20918	GO:0005829	cytosol	cytosol
ENSMUSG00000095148	Gm20873	GO:0005829	cytosol	cytosol
ENSMUSG00000096686	Gm20830	GO:0005829	cytosol	cytosol
ENSMUSG00000094081	Gm20826	GO:0005829	cytosol	cytosol
ENSMUSG00000099861	Gm29049	GO:0005829	cytosol	cytosol
ENSMUSG00000095324	Gm20825	GO:0005829	cytosol	cytosol
ENSMUSG00000101053	Gm20815	GO:0005829	cytosol	cytosol
ENSMUSG00000095032	Gm21310	GO:0005829	cytosol	cytosol
ENSMUSG00000095242	Gm20834	GO:0005829	cytosol	cytosol
ENSMUSG00000094838	Gm20828	GO:0005829	cytosol	cytosol
ENSMUSG00000095172	Gm20822	GO:0005829	cytosol	cytosol
ENSMUSG00000094294	Gm20909	GO:0005829	cytosol	cytosol
ENSMUSG00000093848	Gm20865	GO:0005829	cytosol	cytosol
ENSMUSG00000069045	Ddx3y	GO:0005829	cytosol	cytosol
ENSMUSG00000069044	Usp9y	GO:0005829	cytosol	cytosol
ENSMUSG00000102739	Gm20772	GO:0005829	cytosol	cytosol
ENSMUSG00000094325	Gm20831	GO:0005829	cytosol	cytosol
ENSMUSG00000095520	Gm20877	GO:0005829	cytosol	cytosol
ENSMUSG00000104267	Gm20807	GO:0005829	cytosol	cytosol
ENSMUSG00000103468	Gm21440	GO:0005829	cytosol	cytosol
ENSMUSG00000096122	Gm21943	GO:0005829	cytosol	cytosol
ENSMUSG00000094052	Gm21118	GO:0005829	cytosol	cytosol
ENSMUSG00000095508	Gm20812	GO:0005829	cytosol	cytosol
ENSMUSG00000095867	Gm20917	GO:0005829	cytosol	cytosol
ENSMUSG00000094660	Gm21394	GO:0005829	cytosol	cytosol
ENSMUSG00000094813	Gm20777	GO:0005829	cytosol	cytosol
ENSMUSG00000095950	Gm20737	GO:0005829	cytosol	cytosol
ENSMUSG00000079806	Gm21719	GO:0005829	cytosol	cytosol
ENSMUSG00000100634	Gm28171	GO:0005829	cytosol	cytosol
ENSMUSG00000096036	Gm21778	GO:0005829	cytosol	cytosol
