ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031095	Cul4b	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000000751	Rpa1	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000035121	Neil2	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000026048	Ercc5	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000039396	Neil3	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000026648	Dclre1c	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000041429	Nthl1	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000026496	Parp1	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000031536	Polb	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000030094	Xpc	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000038644	Pold1	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000038806	Sde2	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000038425	Poli	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000032298	Neil1	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000022521	Crebbp	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000053914	Kdm4d	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000024740	Ddb1	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000028884	Rpa2	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000041238	Rbbp8	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000022510	Trp63	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000003549	Ercc1	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000022545	Ercc4	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000030400	Ercc2	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000066551	Hmgb1	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000049932	H2ax	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000027845	Dclre1b	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000055024	Ep300	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000022471	Xrcc6	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000078521	Aunip	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000017146	Brca1	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000020608	Smc6	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000023953	Polh	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000002109	Ddb2	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000021668	Polk	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000051768	Xrcc1	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000030744	Rps3	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000026082	Rev1	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000029591	Ung	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000036023	Parp2	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000035960	Apex1	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000054717	Hmgb2	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000026187	Xrcc5	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000003813	Rad23a	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000028426	Rad23b	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000068742	Cry2	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000028411	Aptx	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000012483	Rpa3	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000034748	Sirt6	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000028224	Nbn	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000024151	Msh2	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000005370	Msh6	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000070425	Xntrpc	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000100254	Trpc2	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000028329	Xpa	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000030271	Ogg1	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000027342	Pcna	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000099481	Xndc1	GO:0003684	damaged DNA binding	damaged_DNA_binding
ENSMUSG00000043909	Trp53bp1	GO:0003684	damaged DNA binding	damaged_DNA_binding
