ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000019831	Wasf1	GO:0097484	dendrite extension	dendrite_extension
ENSMUSG00000060681	Slc9a6	GO:0097484	dendrite extension	dendrite_extension
ENSMUSG00000020340	Cyfip2	GO:0097484	dendrite extension	dendrite_extension
ENSMUSG00000028488	Sh3gl2	GO:0097484	dendrite extension	dendrite_extension
ENSMUSG00000020389	Cdkl3	GO:0097484	dendrite extension	dendrite_extension
ENSMUSG00000042757	Tmem108	GO:0097484	dendrite extension	dendrite_extension
ENSMUSG00000020224	Llph	GO:0097484	dendrite extension	dendrite_extension
ENSMUSG00000003068	Stk11	GO:0097484	dendrite extension	dendrite_extension
ENSMUSG00000030447	Cyfip1	GO:0097484	dendrite extension	dendrite_extension
ENSMUSG00000048482	Bdnf	GO:0097484	dendrite extension	dendrite_extension
ENSMUSG00000029673	Auts2	GO:0097484	dendrite extension	dendrite_extension
