ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022111	Uchl3	GO:0101005	deubiquitinase activity	deubiquitinase_activity
ENSMUSG00000026502	Desi2	GO:0101005	deubiquitinase activity	deubiquitinase_activity
ENSMUSG00000020124	Usp15	GO:0101005	deubiquitinase activity	deubiquitinase_activity
ENSMUSG00000020020	Usp44	GO:0101005	deubiquitinase activity	deubiquitinase_activity
ENSMUSG00000024767	Otub1	GO:0101005	deubiquitinase activity	deubiquitinase_activity
ENSMUSG00000054814	Usp46	GO:0101005	deubiquitinase activity	deubiquitinase_activity
ENSMUSG00000029640	Usp12	GO:0101005	deubiquitinase activity	deubiquitinase_activity
ENSMUSG00000022710	Usp7	GO:0101005	deubiquitinase activity	deubiquitinase_activity
ENSMUSG00000006906	Stambp	GO:0101005	deubiquitinase activity	deubiquitinase_activity
ENSMUSG00000059263	Usp47	GO:0101005	deubiquitinase activity	deubiquitinase_activity
ENSMUSG00000031154	Otud5	GO:0101005	deubiquitinase activity	deubiquitinase_activity
ENSMUSG00000030967	Zranb1	GO:0101005	deubiquitinase activity	deubiquitinase_activity
ENSMUSG00000027363	Usp8	GO:0101005	deubiquitinase activity	deubiquitinase_activity
ENSMUSG00000032267	Usp28	GO:0101005	deubiquitinase activity	deubiquitinase_activity
ENSMUSG00000043411	Usp48	GO:0101005	deubiquitinase activity	deubiquitinase_activity
