ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022812	Gsk3b	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000005871	Apc	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000025916	Ppp1r42	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000037933	Bicd2	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000048794	Cfap100	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000047388	Atmin	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000020271	Fbxw11	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000063409	Lrrc43	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000003452	Bicd1	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000024974	Smc3	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000031787	Katnb1	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000026605	Cenpf	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000026433	Rab29	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000031516	Dctn6	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000025889	Snca	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000027883	Gpsm2	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000031161	Hdac6	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000031831	Dnaaf1	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000006005	Tpr	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000094282	Cfap73	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000020745	Pafah1b1	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000066306	Numa1	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000038292	Kash5	GO:0070840	dynein complex binding	dynein_complex_binding
ENSMUSG00000057110	Cntrl	GO:0070840	dynein complex binding	dynein_complex_binding
