ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000068617	Efcab1	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000037124	Trim58	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000021910	Nisch	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000027012	Dync1i2	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000024253	Dync2li1	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000043020	Dnai3	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000042523	Dnal1	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000042050	Dync2i1	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000035126	Dnai4	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000042707	Dnali1	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000032435	Dync1li1	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000035770	Dync1li2	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000029757	Dync1i1	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000061322	Dnai1	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000034706	Dnai2	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
ENSMUSG00000039715	Dync2i2	GO:0045504	dynein heavy chain binding	dynein_heavy_chain_binding
