ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000065968	Ifitm7	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000032656	Marchf3	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000071604	Entrep1	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000028136	Snx27	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000033792	Atp7a	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000022350	Washc5	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000028007	Snx7	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000040760	Appl1	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000031993	Snx19	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000037400	Atp11b	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000026235	Epha4	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000024935	Slc1a1	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000022946	Dop1b	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000020740	Gga3	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000045374	Wdr81	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000017831	Rab5a	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000019785	Clvs2	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000020056	Washc3	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000016496	Cd274	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000006711	D130043K22Rik	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000003200	Sh3gl1	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000019578	Ubxn6	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000032328	Tmem30a	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000001173	Ocrl	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000024772	Ehd1	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000026471	Mr1	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000034602	Mon2	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000012428	Steap4	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000044147	Arf6	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000030720	Cln3	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000024544	Ldlrad4	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000022094	Slc39a14	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000041247	Lamp3	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000019804	Snx3	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000028173	Wls	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000004319	Clcn3	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000022602	Arc	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000034484	Snx2	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000024101	Washc1	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000037646	Vps13b	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000029816	Gpnmb	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000027293	Ehd4	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000050211	Pla2g4e	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000061273	Mmgt1	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000037224	Zfyve28	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000060681	Slc9a6	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000014550	Rbsn	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000036469	Marchf1	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000025178	Pi4k2a	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000031918	Mtmr2	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000040121	Rep15	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000031662	Snx20	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000026347	Tmem163	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000035735	Dagla	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000028552	Eps15	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000062949	Atp11c	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000025396	Hsd17b6	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000049313	Sorl1	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000020536	Llgl1	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000019173	Rab5c	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000028879	Stx12	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000031021	Tmem9b	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000074811	Hps6	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000031129	Slc9a9	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000027534	Snx16	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000029234	Tmem165	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000048231	H2-M10.4	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000037537	H2-M11	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000036986	Pml	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000021706	Zfyve16	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000021124	Vti1b	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000041301	Cftr	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000026614	Slc30a10	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000027598	Itch	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000024659	Anxa1	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000020132	Rab21	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000022533	Atp13a3	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000000711	Rab5b	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000019969	Psen1	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000055254	Ntrk2	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000049502	Dtx3l	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000041236	Vps41	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000042870	Tom1	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000029093	Sorcs2	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000050473	Slc35d3	GO:0031901	early endosome membrane	early_endosome_membrane
ENSMUSG00000058248	Kcnh1	GO:0031901	early endosome membrane	early_endosome_membrane
