ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000015053	Gata2	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000021255	Esrrb	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000018160	Med1	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000032855	Pkd1	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000034462	Pkd2	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000038151	Prdm1	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000043866	Taf10	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000035247	Hectd1	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000085925	Rtl1	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000070076	Mir127	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000037171	Nodal	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000039910	Cited2	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000023990	Tfeb	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000021109	Hif1a	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000022556	Hsf1	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000018916	Csf2	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000001280	Sp1	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000015522	Arnt	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000040481	Bptf	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000024140	Epas1	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000073988	Ttpa	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000034957	Cebpa	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000020122	Egfr	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000029390	Tmed2	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000027315	Spint1	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000048583	Igf2	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000056501	Cebpb	GO:0001892	embryonic placenta development	embryonic_placenta_development
ENSMUSG00000027109	Sp3	GO:0001892	embryonic placenta development	embryonic_placenta_development
