ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000026048	Ercc5	GO:0004520	endodeoxyribonuclease activity	endodeoxyribonuclease_activity
ENSMUSG00000036086	Zranb3	GO:0004520	endodeoxyribonuclease activity	endodeoxyribonuclease_activity
ENSMUSG00000031928	Mre11a	GO:0004520	endodeoxyribonuclease activity	endodeoxyribonuclease_activity
ENSMUSG00000029027	Dffb	GO:0004520	endodeoxyribonuclease activity	endodeoxyribonuclease_activity
ENSMUSG00000022545	Ercc4	GO:0004520	endodeoxyribonuclease activity	endodeoxyribonuclease_activity
ENSMUSG00000028185	Dnase2b	GO:0004520	endodeoxyribonuclease activity	endodeoxyribonuclease_activity
ENSMUSG00000046295	Ankle1	GO:0004520	endodeoxyribonuclease activity	endodeoxyribonuclease_activity
ENSMUSG00000030744	Rps3	GO:0004520	endodeoxyribonuclease activity	endodeoxyribonuclease_activity
ENSMUSG00000025279	Dnase1l3	GO:0004520	endodeoxyribonuclease activity	endodeoxyribonuclease_activity
ENSMUSG00000003812	Dnase2a	GO:0004520	endodeoxyribonuclease activity	endodeoxyribonuclease_activity
ENSMUSG00000030051	Aplf	GO:0004520	endodeoxyribonuclease activity	endodeoxyribonuclease_activity
ENSMUSG00000037795	N4bp2	GO:0004520	endodeoxyribonuclease activity	endodeoxyribonuclease_activity
ENSMUSG00000015337	Endog	GO:0004520	endodeoxyribonuclease activity	endodeoxyribonuclease_activity
