ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031897	Psmb10	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000021993	Mipep	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000033453	Adamts15	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000021939	Ctsb	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000031443	F7	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000052593	Adam17	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000028618	Tmem59	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000024338	Psmb8	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000032688	Malt1	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000021583	Erap1	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000031628	Casp3	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000054046	Klk13	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000014852	Adamts13	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000005220	Corin	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000000392	Fap	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000002660	Clpp	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000022056	Adam7	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000063089	Klk1b8	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000063133	Klk1b1	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000059042	Klk1b9	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000044485	Klk1b11	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000053719	Klk1b26	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000063177	Klk1b27	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000066516	Klk1b21	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000060177	Klk1b22	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000038968	Klk1b16	GO:0004175	endopeptidase activity	endopeptidase_activity
ENSMUSG00000063713	Klk1b24	GO:0004175	endopeptidase activity	endopeptidase_activity
