ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000069516	Lyz2	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000069515	Lyz1	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000027792	Bche	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000020571	Pdia6	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000020048	Hsp90b1	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000043019	Edem3	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000021994	Wnt5a	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000032649	Colgalt2	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000026047	Poglut2	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000022136	Dnajc3	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000024357	Sil1	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000042104	Uggt2	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000022382	Wnt7b	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000024896	Minpp1	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000021583	Erap1	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000009900	Wnt3a	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000034487	Poglut3	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000025823	Pdia4	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000021587	Pcsk1	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000040462	Os9	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
ENSMUSG00000056553	Ptprn2	GO:0005788	endoplasmic reticulum lumen	endoplasmic_reticulum_lumen
