ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000039956	Mrap	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000042514	Klhl14	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000050875	Minar2	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000073555	Gm4951	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000068606	Gm4841	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000090942	F830016B08Rik	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000054072	Iigp1	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000073131	Vma21	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000053593	Fate1	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000022463	Srebf2	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000044408	Sptssa	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000024610	Cd74	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000022367	Has2	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000022964	Tmem50b	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000036292	Gramd1c	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000031349	Nsdhl	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000027963	Extl2	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000022365	Derl1	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000034317	Trim59	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000021969	Zdhhc20	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000061740	Cyp2d22	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000068085	Cyp2d11	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000031232	Magt1	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000094806	Cyp2d10	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000037526	Atg14	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000043461	Sptssb	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000079057	Cyp4v3	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000031684	Slc10a7	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000046841	Ckap4	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000068086	Cyp2d9	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000048101	Or7a40	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000048310	Pskh1	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000044461	Shisa2	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000031639	Tlr3	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000022351	Sqle	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000021248	Tmed10	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000034258	Flvcr2	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000021252	Erg28	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000036083	Slc17a3	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000024145	Pigf	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000057531	Dtnbp1	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000018042	Cyb5r3	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000007908	Hmgcll1	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
ENSMUSG00000021928	Ebpl	GO:0005789	endoplasmic reticulum membrane	endoplasmic_reticulum_membrane
