ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031242	Chmp1b2	GO:0032509	endosome transport via multivesicular body sorting pathway	endosome_transport_via_multivesicular_body_sorting_pathway
ENSMUSG00000038195	Rilp	GO:0032509	endosome transport via multivesicular body sorting pathway	endosome_transport_via_multivesicular_body_sorting_pathway
ENSMUSG00000053119	Chmp3	GO:0032509	endosome transport via multivesicular body sorting pathway	endosome_transport_via_multivesicular_body_sorting_pathway
ENSMUSG00000024993	Dennd10	GO:0032509	endosome transport via multivesicular body sorting pathway	endosome_transport_via_multivesicular_body_sorting_pathway
ENSMUSG00000109901	Chmp1b	GO:0032509	endosome transport via multivesicular body sorting pathway	endosome_transport_via_multivesicular_body_sorting_pathway
ENSMUSG00000004843	Chmp2b	GO:0032509	endosome transport via multivesicular body sorting pathway	endosome_transport_via_multivesicular_body_sorting_pathway
ENSMUSG00000031479	Vps36	GO:0032509	endosome transport via multivesicular body sorting pathway	endosome_transport_via_multivesicular_body_sorting_pathway
ENSMUSG00000022257	Laptm4b	GO:0032509	endosome transport via multivesicular body sorting pathway	endosome_transport_via_multivesicular_body_sorting_pathway
ENSMUSG00000115987	Vps28	GO:0032509	endosome transport via multivesicular body sorting pathway	endosome_transport_via_multivesicular_body_sorting_pathway
ENSMUSG00000068747	Sort1	GO:0032509	endosome transport via multivesicular body sorting pathway	endosome_transport_via_multivesicular_body_sorting_pathway
ENSMUSG00000000743	Chmp1a	GO:0032509	endosome transport via multivesicular body sorting pathway	endosome_transport_via_multivesicular_body_sorting_pathway
ENSMUSG00000033916	Chmp2a	GO:0032509	endosome transport via multivesicular body sorting pathway	endosome_transport_via_multivesicular_body_sorting_pathway
