ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022124	Fbxl3	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000020038	Cry1	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000036816	Atoh7	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000020644	Id2	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000023965	Fbxl17	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000029491	Pde6b	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000032010	Usp2	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000036986	Pml	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000043972	Opn5	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000040385	Ppp1ca	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000035509	Fbxl21	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000021144	Mta1	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000033760	Rbm4b	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000094936	Rbm4	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000030103	Bhlhe40	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000003575	Crtc1	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000002393	Nr2f6	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000024042	Sik1	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000068742	Cry2	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000004455	Ppp1cc	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000014956	Ppp1cb	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000028957	Per3	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000059552	Trp53	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
ENSMUSG00000020893	Per1	GO:0043153	entrainment of circadian clock by photoperiod	entrainment_of_circadian_clock_by_photoperiod
