ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000045991	Onecut2	GO:0002064	epithelial cell development	epithelial_cell_development
ENSMUSG00000059854	Hydin	GO:0002064	epithelial cell development	epithelial_cell_development
ENSMUSG00000045382	Cxcr4	GO:0002064	epithelial cell development	epithelial_cell_development
ENSMUSG00000022510	Trp63	GO:0002064	epithelial cell development	epithelial_cell_development
ENSMUSG00000019768	Esr1	GO:0002064	epithelial cell development	epithelial_cell_development
ENSMUSG00000014859	E2f4	GO:0002064	epithelial cell development	epithelial_cell_development
ENSMUSG00000015850	Adamtsl4	GO:0002064	epithelial cell development	epithelial_cell_development
ENSMUSG00000068323	Slc4a5	GO:0002064	epithelial cell development	epithelial_cell_development
ENSMUSG00000043013	Onecut1	GO:0002064	epithelial cell development	epithelial_cell_development
ENSMUSG00000028413	B4galt1	GO:0002064	epithelial cell development	epithelial_cell_development
ENSMUSG00000027004	Frzb	GO:0002064	epithelial cell development	epithelial_cell_development
ENSMUSG00000027168	Pax6	GO:0002064	epithelial cell development	epithelial_cell_development
