ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022865	Cxadr	GO:0010669	epithelial structure maintenance	epithelial_structure_maintenance
ENSMUSG00000036912	Piwil4	GO:0010669	epithelial structure maintenance	epithelial_structure_maintenance
ENSMUSG00000025223	Ldb1	GO:0010669	epithelial structure maintenance	epithelial_structure_maintenance
ENSMUSG00000036377	Cracd	GO:0010669	epithelial structure maintenance	epithelial_structure_maintenance
ENSMUSG00000022900	Ildr1	GO:0010669	epithelial structure maintenance	epithelial_structure_maintenance
ENSMUSG00000015605	Srf	GO:0010669	epithelial structure maintenance	epithelial_structure_maintenance
ENSMUSG00000040860	Crocc	GO:0010669	epithelial structure maintenance	epithelial_structure_maintenance
ENSMUSG00000039706	Ldb2	GO:0010669	epithelial structure maintenance	epithelial_structure_maintenance
ENSMUSG00000001247	Lsr	GO:0010669	epithelial structure maintenance	epithelial_structure_maintenance
ENSMUSG00000034121	Mks1	GO:0010669	epithelial structure maintenance	epithelial_structure_maintenance
