ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000023147	Get1	GO:0090150	establishment of protein localization to membrane	establishment_of_protein_localization_to_membrane
ENSMUSG00000024413	Npc1	GO:0090150	establishment of protein localization to membrane	establishment_of_protein_localization_to_membrane
ENSMUSG00000054150	Syne3	GO:0090150	establishment of protein localization to membrane	establishment_of_protein_localization_to_membrane
ENSMUSG00000057606	Colq	GO:0090150	establishment of protein localization to membrane	establishment_of_protein_localization_to_membrane
ENSMUSG00000020671	Rab10	GO:0090150	establishment of protein localization to membrane	establishment_of_protein_localization_to_membrane
ENSMUSG00000000959	Oxa1l	GO:0090150	establishment of protein localization to membrane	establishment_of_protein_localization_to_membrane
ENSMUSG00000004771	Rab11a	GO:0090150	establishment of protein localization to membrane	establishment_of_protein_localization_to_membrane
ENSMUSG00000002413	Braf	GO:0090150	establishment of protein localization to membrane	establishment_of_protein_localization_to_membrane
ENSMUSG00000035505	Cox18	GO:0090150	establishment of protein localization to membrane	establishment_of_protein_localization_to_membrane
ENSMUSG00000004446	Bid	GO:0090150	establishment of protein localization to membrane	establishment_of_protein_localization_to_membrane
ENSMUSG00000077450	Rab11b	GO:0090150	establishment of protein localization to membrane	establishment_of_protein_localization_to_membrane
ENSMUSG00000035615	Frmpd1	GO:0090150	establishment of protein localization to membrane	establishment_of_protein_localization_to_membrane
