ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000039217	Il18	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000020656	Grhl1	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000035356	Nfkbiz	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000024454	Hdac3	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000033579	Fa2h	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000053797	Krt16	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000001420	Tmem79	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000009376	Met	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000037600	Kdf1	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000047281	Sfn	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000022510	Trp63	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000022512	Cldn1	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000046834	Krt1	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000028832	Stmn1	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000022565	Plec	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000037188	Grhl3	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000063415	Cyp26b1	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000015605	Srf	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000029478	Ncor2	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000043286	Pnpla1	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000006390	Elovl1	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000048764	Tmprss11f	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000050296	Abca12	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000028048	Gba	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000003032	Klf4	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000028381	Ugcg	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000001247	Lsr	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000000320	Alox12	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000027367	Stard7	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000008843	Cldn13	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000047501	Cldn4	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000020892	Aloxe3	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
ENSMUSG00000032807	Alox12b	GO:0061436	establishment of skin barrier	establishment_of_skin_barrier
