ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000037541	Shank2	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000021721	Htr1a	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000022623	Shank3	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000028351	Brinp1	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000060780	Lrrtm1	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000021189	Atxn3	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000006958	Chrd	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000027577	Chrna4	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000057880	Abat	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000001751	Naglu	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000030077	Chl1	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000040138	Ndp	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000036273	Lrrk2	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000002028	Kmt2a	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000068122	Agtr2	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000025318	Jph3	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000048616	Nog	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000033676	Gabrb3	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000014351	Gip	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000001507	Itga3	GO:0035640	exploration behavior	exploration_behavior
ENSMUSG00000030854	Ptpn5	GO:0035640	exploration behavior	exploration_behavior
