ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024302	Dtna	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000014453	Blk	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000000409	Lck	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000024789	Jak2	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000025555	Farp1	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000029467	Atp2a2	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000017400	Stac2	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000019779	Frk	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000032041	Tirap	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000042671	Rgs8	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000021457	Syk	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000030265	Kras	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000032826	Ank2	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000000127	Fer	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000003283	Hck	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000040287	Stac3	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000031357	Syap1	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000028874	Fgr	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000023015	Racgap1	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000028931	Kcnab2	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000047454	Gphn	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000021313	Ryr2	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000038751	Ptk6	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000074259	Gramd2	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000027827	Kcnab1	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000062585	Cnr2	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000037712	Fermt2	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
ENSMUSG00000031065	Cdk16	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane
