ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024789	Jak2	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
ENSMUSG00000049709	Nlrp10	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
ENSMUSG00000055994	Nod2	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
ENSMUSG00000059481	Plg	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
ENSMUSG00000007279	Scube2	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
ENSMUSG00000047454	Gphn	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
ENSMUSG00000030162	Olr1	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
ENSMUSG00000027935	Rab13	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
ENSMUSG00000027363	Usp8	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
ENSMUSG00000027364	Usp50	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
ENSMUSG00000036499	Eea1	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
ENSMUSG00000032508	Myd88	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
ENSMUSG00000030651	Art2b	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
ENSMUSG00000066306	Numa1	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
ENSMUSG00000010080	Epn3	GO:0019897	extrinsic component of plasma membrane	extrinsic_component_of_plasma_membrane
