ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000041380	Htr2c	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000032360	Hcrtr2	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000001496	Nkx2-1	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000035383	Pmch	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000045052	Prlhr	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000037010	Apln	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000047259	Mc4r	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000024907	Gal	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000049511	Htr1b	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000028778	Hcrtr1	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000040037	Negr1	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000054136	Adm2	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000021478	Drd1	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000042761	Mrap2	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000029819	Npy	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000036437	Npy1r	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000045471	Hcrt	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000031932	Gpr83	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000032327	Stra6	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000048000	Gigyf2	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000055254	Ntrk2	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000017316	Ppy	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000017311	Pyy	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000044034	Npb	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000030669	Calca	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000024027	Glp1r	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000018634	Crhr1	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000071230	Npw	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000029193	Cckar	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000090550	Prlh	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000038676	Ucn	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000032259	Drd2	GO:0007631	feeding behavior	feeding_behavior
ENSMUSG00000048482	Bdnf	GO:0007631	feeding behavior	feeding_behavior
