ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000060657	Marf1	GO:0007143	female meiotic nuclear division	female_meiotic_nuclear_division
ENSMUSG00000034218	Atm	GO:0007143	female meiotic nuclear division	female_meiotic_nuclear_division
ENSMUSG00000021395	Spin1	GO:0007143	female meiotic nuclear division	female_meiotic_nuclear_division
ENSMUSG00000008690	Ncaph2	GO:0007143	female meiotic nuclear division	female_meiotic_nuclear_division
ENSMUSG00000060445	Sycp2	GO:0007143	female meiotic nuclear division	female_meiotic_nuclear_division
ENSMUSG00000020914	Top2a	GO:0007143	female meiotic nuclear division	female_meiotic_nuclear_division
ENSMUSG00000026039	Sgo2a	GO:0007143	female meiotic nuclear division	female_meiotic_nuclear_division
ENSMUSG00000007564	Ppp2r1a	GO:0007143	female meiotic nuclear division	female_meiotic_nuclear_division
ENSMUSG00000022556	Hsf1	GO:0007143	female meiotic nuclear division	female_meiotic_nuclear_division
ENSMUSG00000037159	Wee2	GO:0007143	female meiotic nuclear division	female_meiotic_nuclear_division
ENSMUSG00000029377	Ereg	GO:0007143	female meiotic nuclear division	female_meiotic_nuclear_division
ENSMUSG00000034906	Ncaph	GO:0007143	female meiotic nuclear division	female_meiotic_nuclear_division
