ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000009614	Sardh	GO:0005542	folic acid binding	folic_acid_binding
ENSMUSG00000079427	Mthfsl	GO:0005542	folic acid binding	folic_acid_binding
ENSMUSG00000066442	Mthfs	GO:0005542	folic acid binding	folic_acid_binding
ENSMUSG00000021707	Dhfr	GO:0005542	folic acid binding	folic_acid_binding
ENSMUSG00000021311	Mtr	GO:0005542	folic acid binding	folic_acid_binding
ENSMUSG00000042102	Dmgdh	GO:0005542	folic acid binding	folic_acid_binding
ENSMUSG00000020829	Slc46a1	GO:0005542	folic acid binding	folic_acid_binding
ENSMUSG00000002769	Gnmt	GO:0005542	folic acid binding	folic_acid_binding
ENSMUSG00000001155	Ftcd	GO:0005542	folic acid binding	folic_acid_binding
ENSMUSG00000001436	Slc19a1	GO:0005542	folic acid binding	folic_acid_binding
ENSMUSG00000032725	Folr2	GO:0005542	folic acid binding	folic_acid_binding
ENSMUSG00000001827	Folr1	GO:0005542	folic acid binding	folic_acid_binding
ENSMUSG00000030979	Uros	GO:0005542	folic acid binding	folic_acid_binding
ENSMUSG00000025747	Tyms	GO:0005542	folic acid binding	folic_acid_binding
