ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000049307	Fut4	GO:0008417	fucosyltransferase activity	fucosyltransferase_activity
ENSMUSG00000039357	Fut11	GO:0008417	fucosyltransferase activity	fucosyltransferase_activity
ENSMUSG00000046152	Fut10	GO:0008417	fucosyltransferase activity	fucosyltransferase_activity
ENSMUSG00000020260	Pofut2	GO:0008417	fucosyltransferase activity	fucosyltransferase_activity
ENSMUSG00000055373	Fut9	GO:0008417	fucosyltransferase activity	fucosyltransferase_activity
ENSMUSG00000036587	Fut7	GO:0008417	fucosyltransferase activity	fucosyltransferase_activity
ENSMUSG00000040364	Sec1	GO:0008417	fucosyltransferase activity	fucosyltransferase_activity
ENSMUSG00000008461	Fut1	GO:0008417	fucosyltransferase activity	fucosyltransferase_activity
ENSMUSG00000055978	Fut2	GO:0008417	fucosyltransferase activity	fucosyltransferase_activity
ENSMUSG00000046020	Pofut1	GO:0008417	fucosyltransferase activity	fucosyltransferase_activity
