ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022982	Sod1	GO:0010467	gene expression	gene_expression
ENSMUSG00000099236	Mir668	GO:0010467	gene expression	gene_expression
ENSMUSG00000105849	Mir409	GO:0010467	gene expression	gene_expression
ENSMUSG00000021242	Npc2	GO:0010467	gene expression	gene_expression
ENSMUSG00000022967	Ifnar1	GO:0010467	gene expression	gene_expression
ENSMUSG00000021367	Edn1	GO:0010467	gene expression	gene_expression
ENSMUSG00000031616	Ednra	GO:0010467	gene expression	gene_expression
ENSMUSG00000027782	Kpna4	GO:0010467	gene expression	gene_expression
ENSMUSG00000069310	H3c3	GO:0010467	gene expression	gene_expression
ENSMUSG00000069267	H3c2	GO:0010467	gene expression	gene_expression
ENSMUSG00000022122	Ednrb	GO:0010467	gene expression	gene_expression
ENSMUSG00000040726	Hesx1	GO:0010467	gene expression	gene_expression
ENSMUSG00000035296	Sgcg	GO:0010467	gene expression	gene_expression
ENSMUSG00000001496	Nkx2-1	GO:0010467	gene expression	gene_expression
ENSMUSG00000021932	Rnaseh2b	GO:0010467	gene expression	gene_expression
ENSMUSG00000065403	Mir18	GO:0010467	gene expression	gene_expression
ENSMUSG00000031095	Cul4b	GO:0010467	gene expression	gene_expression
ENSMUSG00000003882	Il7r	GO:0010467	gene expression	gene_expression
ENSMUSG00000024935	Slc1a1	GO:0010467	gene expression	gene_expression
ENSMUSG00000012396	Nanog	GO:0010467	gene expression	gene_expression
ENSMUSG00000041248	Kcnj1	GO:0010467	gene expression	gene_expression
ENSMUSG00000026043	Col3a1	GO:0010467	gene expression	gene_expression
ENSMUSG00000030742	Lat	GO:0010467	gene expression	gene_expression
ENSMUSG00000035356	Nfkbiz	GO:0010467	gene expression	gene_expression
ENSMUSG00000026248	Mrpl44	GO:0010467	gene expression	gene_expression
ENSMUSG00000024810	Il33	GO:0010467	gene expression	gene_expression
ENSMUSG00000039419	Cntnap2	GO:0010467	gene expression	gene_expression
ENSMUSG00000056258	Kcnq3	GO:0010467	gene expression	gene_expression
ENSMUSG00000004364	Cul3	GO:0010467	gene expression	gene_expression
ENSMUSG00000047171	Helt	GO:0010467	gene expression	gene_expression
ENSMUSG00000002603	Tgfb1	GO:0010467	gene expression	gene_expression
ENSMUSG00000029468	P2rx7	GO:0010467	gene expression	gene_expression
ENSMUSG00000022200	Golph3	GO:0010467	gene expression	gene_expression
ENSMUSG00000024778	Fas	GO:0010467	gene expression	gene_expression
ENSMUSG00000024781	Lipa	GO:0010467	gene expression	gene_expression
ENSMUSG00000000861	Bcl11a	GO:0010467	gene expression	gene_expression
ENSMUSG00000076431	Sox4	GO:0010467	gene expression	gene_expression
ENSMUSG00000041459	Tardbp	GO:0010467	gene expression	gene_expression
ENSMUSG00000049115	Agtr1a	GO:0010467	gene expression	gene_expression
ENSMUSG00000076318	Mir216b	GO:0010467	gene expression	gene_expression
ENSMUSG00000065539	Mir216a	GO:0010467	gene expression	gene_expression
ENSMUSG00000065415	Mir217	GO:0010467	gene expression	gene_expression
ENSMUSG00000027720	Il2	GO:0010467	gene expression	gene_expression
ENSMUSG00000022265	Ank	GO:0010467	gene expression	gene_expression
ENSMUSG00000024913	Lrp5	GO:0010467	gene expression	gene_expression
ENSMUSG00000024454	Hdac3	GO:0010467	gene expression	gene_expression
ENSMUSG00000098366	Mir145b	GO:0010467	gene expression	gene_expression
ENSMUSG00000031465	Angpt2	GO:0010467	gene expression	gene_expression
ENSMUSG00000024431	Nr3c1	GO:0010467	gene expression	gene_expression
ENSMUSG00000031393	Mecp2	GO:0010467	gene expression	gene_expression
ENSMUSG00000022623	Shank3	GO:0010467	gene expression	gene_expression
ENSMUSG00000039521	Foxp3	GO:0010467	gene expression	gene_expression
ENSMUSG00000048402	Gli2	GO:0010467	gene expression	gene_expression
ENSMUSG00000038151	Prdm1	GO:0010467	gene expression	gene_expression
ENSMUSG00000025408	Ddit3	GO:0010467	gene expression	gene_expression
ENSMUSG00000116429	Ddit3	GO:0010467	gene expression	gene_expression
ENSMUSG00000117105	Dreh	GO:0010467	gene expression	gene_expression
ENSMUSG00000030562	Nox4	GO:0010467	gene expression	gene_expression
ENSMUSG00000038774	Ascc3	GO:0010467	gene expression	gene_expression
ENSMUSG00000029156	Sgcb	GO:0010467	gene expression	gene_expression
ENSMUSG00000043866	Taf10	GO:0010467	gene expression	gene_expression
ENSMUSG00000081058	H3c15	GO:0010467	gene expression	gene_expression
ENSMUSG00000093769	H3c14	GO:0010467	gene expression	gene_expression
ENSMUSG00000048920	Fkrp	GO:0010467	gene expression	gene_expression
ENSMUSG00000074403	H3c13	GO:0010467	gene expression	gene_expression
ENSMUSG00000055022	Cntn1	GO:0010467	gene expression	gene_expression
ENSMUSG00000039005	Tlr4	GO:0010467	gene expression	gene_expression
ENSMUSG00000036158	Prickle1	GO:0010467	gene expression	gene_expression
ENSMUSG00000065518	Mir423	GO:0010467	gene expression	gene_expression
ENSMUSG00000059654	Reg1	GO:0010467	gene expression	gene_expression
ENSMUSG00000029563	Foxp2	GO:0010467	gene expression	gene_expression
ENSMUSG00000074359	Psg23	GO:0010467	gene expression	gene_expression
ENSMUSG00000019893	Ros1	GO:0010467	gene expression	gene_expression
ENSMUSG00000025927	Tfap2b	GO:0010467	gene expression	gene_expression
ENSMUSG00000078671	Chd2	GO:0010467	gene expression	gene_expression
ENSMUSG00000067860	Zic3	GO:0010467	gene expression	gene_expression
ENSMUSG00000005583	Mef2c	GO:0010467	gene expression	gene_expression
ENSMUSG00000025929	Il17a	GO:0010467	gene expression	gene_expression
ENSMUSG00000002147	Stat6	GO:0010467	gene expression	gene_expression
ENSMUSG00000051367	Six1	GO:0010467	gene expression	gene_expression
ENSMUSG00000070565	Rasal2	GO:0010467	gene expression	gene_expression
ENSMUSG00000099343	Gm28836	GO:0010467	gene expression	gene_expression
ENSMUSG00000092770	Mirlet7a-2	GO:0010467	gene expression	gene_expression
ENSMUSG00000078024	Mir883b	GO:0010467	gene expression	gene_expression
ENSMUSG00000061731	Ext1	GO:0010467	gene expression	gene_expression
ENSMUSG00000032368	Zic1	GO:0010467	gene expression	gene_expression
ENSMUSG00000045103	Dmd	GO:0010467	gene expression	gene_expression
ENSMUSG00000024413	Npc1	GO:0010467	gene expression	gene_expression
ENSMUSG00000028163	Nfkb1	GO:0010467	gene expression	gene_expression
ENSMUSG00000004040	Stat3	GO:0010467	gene expression	gene_expression
ENSMUSG00000021057	Akap5	GO:0010467	gene expression	gene_expression
ENSMUSG00000105770	Mir664	GO:0010467	gene expression	gene_expression
ENSMUSG00000022878	Adipoq	GO:0010467	gene expression	gene_expression
ENSMUSG00000021112	Pals1	GO:0010467	gene expression	gene_expression
ENSMUSG00000030401	Rtn2	GO:0010467	gene expression	gene_expression
ENSMUSG00000021901	Bap1	GO:0010467	gene expression	gene_expression
ENSMUSG00000031755	Bbs2	GO:0010467	gene expression	gene_expression
ENSMUSG00000001751	Naglu	GO:0010467	gene expression	gene_expression
ENSMUSG00000019301	Hsd17b1	GO:0010467	gene expression	gene_expression
ENSMUSG00000005716	Pvalb	GO:0010467	gene expression	gene_expression
ENSMUSG00000003974	Grm3	GO:0010467	gene expression	gene_expression
ENSMUSG00000025235	Bbs4	GO:0010467	gene expression	gene_expression
ENSMUSG00000021264	Yy1	GO:0010467	gene expression	gene_expression
ENSMUSG00000005836	Gata6	GO:0010467	gene expression	gene_expression
ENSMUSG00000118229	Lncbate10	GO:0010467	gene expression	gene_expression
ENSMUSG00000042349	Ikbke	GO:0010467	gene expression	gene_expression
ENSMUSG00000085925	Rtl1	GO:0010467	gene expression	gene_expression
ENSMUSG00000035112	Wnk4	GO:0010467	gene expression	gene_expression
ENSMUSG00000055065	Ddx17	GO:0010467	gene expression	gene_expression
ENSMUSG00000065445	Mir143	GO:0010467	gene expression	gene_expression
ENSMUSG00000109056	Leat1	GO:0010467	gene expression	gene_expression
ENSMUSG00000030795	Fus	GO:0010467	gene expression	gene_expression
ENSMUSG00000008575	Nfib	GO:0010467	gene expression	gene_expression
ENSMUSG00000019969	Psen1	GO:0010467	gene expression	gene_expression
ENSMUSG00000039153	Runx2	GO:0010467	gene expression	gene_expression
ENSMUSG00000059327	Eda	GO:0010467	gene expression	gene_expression
ENSMUSG00000021318	Gli3	GO:0010467	gene expression	gene_expression
ENSMUSG00000040138	Ndp	GO:0010467	gene expression	gene_expression
ENSMUSG00000059486	Kbtbd2	GO:0010467	gene expression	gene_expression
ENSMUSG00000001750	Tcirg1	GO:0010467	gene expression	gene_expression
ENSMUSG00000028700	Pomgnt1	GO:0010467	gene expression	gene_expression
ENSMUSG00000002985	Apoe	GO:0010467	gene expression	gene_expression
ENSMUSG00000028271	Gtf2b	GO:0010467	gene expression	gene_expression
ENSMUSG00000004383	Large1	GO:0010467	gene expression	gene_expression
ENSMUSG00000030544	Mesp1	GO:0010467	gene expression	gene_expression
ENSMUSG00000022565	Plec	GO:0010467	gene expression	gene_expression
ENSMUSG00000040151	Hs2st1	GO:0010467	gene expression	gene_expression
ENSMUSG00000100210	H3c7	GO:0010467	gene expression	gene_expression
ENSMUSG00000069273	H3c6	GO:0010467	gene expression	gene_expression
ENSMUSG00000099583	H3c4	GO:0010467	gene expression	gene_expression
ENSMUSG00000037370	Enpp1	GO:0010467	gene expression	gene_expression
ENSMUSG00000070110	Mir504	GO:0010467	gene expression	gene_expression
ENSMUSG00000037188	Grhl3	GO:0010467	gene expression	gene_expression
ENSMUSG00000001729	Akt1	GO:0010467	gene expression	gene_expression
ENSMUSG00000014164	Klhl3	GO:0010467	gene expression	gene_expression
ENSMUSG00000028496	Mllt3	GO:0010467	gene expression	gene_expression
ENSMUSG00000024131	Slc3a1	GO:0010467	gene expression	gene_expression
ENSMUSG00000097850	Mir205hg	GO:0010467	gene expression	gene_expression
ENSMUSG00000070304	Scn2b	GO:0010467	gene expression	gene_expression
ENSMUSG00000065421	Mirlet7a-1	GO:0010467	gene expression	gene_expression
ENSMUSG00000065503	Mir351	GO:0010467	gene expression	gene_expression
ENSMUSG00000085183	Wincr1	GO:0010467	gene expression	gene_expression
ENSMUSG00000029478	Ncor2	GO:0010467	gene expression	gene_expression
ENSMUSG00000042613	Pbxip1	GO:0010467	gene expression	gene_expression
ENSMUSG00000036832	Lpar3	GO:0010467	gene expression	gene_expression
ENSMUSG00000085348	Myhas	GO:0010467	gene expression	gene_expression
ENSMUSG00000035248	Tut7	GO:0010467	gene expression	gene_expression
ENSMUSG00000084590	Mir1896	GO:0010467	gene expression	gene_expression
ENSMUSG00000028565	Nfia	GO:0010467	gene expression	gene_expression
ENSMUSG00000031304	Il2rg	GO:0010467	gene expression	gene_expression
ENSMUSG00000001761	Smo	GO:0010467	gene expression	gene_expression
ENSMUSG00000031565	Fgfr1	GO:0010467	gene expression	gene_expression
ENSMUSG00000051910	Sox6	GO:0010467	gene expression	gene_expression
ENSMUSG00000072235	Tuba1a	GO:0010467	gene expression	gene_expression
ENSMUSG00000009406	Elk1	GO:0010467	gene expression	gene_expression
ENSMUSG00000020932	Gfap	GO:0010467	gene expression	gene_expression
ENSMUSG00000060284	Sp7	GO:0010467	gene expression	gene_expression
ENSMUSG00000027104	Atf2	GO:0010467	gene expression	gene_expression
ENSMUSG00000000125	Wnt3	GO:0010467	gene expression	gene_expression
ENSMUSG00000028068	Iqgap3	GO:0010467	gene expression	gene_expression
ENSMUSG00000025902	Sox17	GO:0010467	gene expression	gene_expression
ENSMUSG00000020680	Taf15	GO:0010467	gene expression	gene_expression
ENSMUSG00000021835	Bmp4	GO:0010467	gene expression	gene_expression
ENSMUSG00000020167	Tcf3	GO:0010467	gene expression	gene_expression
