ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000025081	Tdrd1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000022652	Morc1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000054003	Tdrd9	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000034573	Ptpn13	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000036698	Ago2	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000033644	Piwil2	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000063804	Lin28b	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000022283	Pabpc1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000036912	Piwil4	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000021758	Ddx4	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000026254	Eif4e2	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000010796	Asz1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000035632	Cnot3	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000022774	Ncbp2	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000055065	Ddx17	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000050966	Lin28a	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000047888	Tnrc6b	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000002227	Mov10	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000036550	Cnot1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000020362	Cnot6	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000009628	Tex15	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000067150	Xpo5	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000094936	Rbm4	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000031527	Eri1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000041415	Dicer1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000031601	Cnot7	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000001424	Snd1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000027951	Adar	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000045662	Henmt1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000029423	Piwil1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000041912	Tdrkh	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000003135	Cnot11	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000023051	Tarbp2	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000022178	Ajuba	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000002731	Prkra	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000050213	Snip1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000079259	Trim71	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000056167	Cnot10	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000028842	Ago3	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000041530	Ago1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000020515	Cnot8	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000020454	Eif4enif1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000042500	Ago4	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000025239	Limd1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000036459	Wtip	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000020166	Cnot2	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000052707	Tnrc6a	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000028330	Ncbp1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000030491	Tdrd12	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000026174	Cnot9	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000040013	Fkbp6	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000040629	Mael	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000034610	Tut4	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000037364	Srrt	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000048647	Exd1	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
ENSMUSG00000034724	Cnot6l	GO:0031047	gene silencing by RNA	gene_silencing_by_RNA
