ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024935	Slc1a1	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000026473	Glul	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000029636	Wasf3	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000021998	Lcp1	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000023032	Slc4a8	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000028822	Tmem50a	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000040836	Gpr161	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000020932	Gfap	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000018411	Mapt	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000063681	Crb1	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000025809	Itgb1	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000019843	Fyn	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000024397	Aif1	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000035722	Abca7	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000026114	Cnga3	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000015149	Sirt2	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000026830	Ermn	GO:0097386	glial cell projection	glial_cell_projection
ENSMUSG00000034810	Scn7a	GO:0097386	glial cell projection	glial_cell_projection
