ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000005360	Slc1a3	GO:0016595	glutamate binding	glutamate_binding
ENSMUSG00000032350	Gclc	GO:0016595	glutamate binding	glutamate_binding
ENSMUSG00000024935	Slc1a1	GO:0016595	glutamate binding	glutamate_binding
ENSMUSG00000026473	Glul	GO:0016595	glutamate binding	glutamate_binding
ENSMUSG00000039523	Cep104	GO:0016595	glutamate binding	glutamate_binding
ENSMUSG00000070880	Gad1	GO:0016595	glutamate binding	glutamate_binding
ENSMUSG00000059003	Grin2a	GO:0016595	glutamate binding	glutamate_binding
ENSMUSG00000056755	Grm7	GO:0016595	glutamate binding	glutamate_binding
ENSMUSG00000025991	Cps1	GO:0016595	glutamate binding	glutamate_binding
ENSMUSG00000026787	Gad2	GO:0016595	glutamate binding	glutamate_binding
ENSMUSG00000026959	Grin1	GO:0016595	glutamate binding	glutamate_binding
ENSMUSG00000002771	Grin2d	GO:0016595	glutamate binding	glutamate_binding
