ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024617	Camk2a	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000025813	Homer2	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000026384	Ptpn4	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000030098	Grip2	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000117098	Gm49909	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000024048	Myl12a	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000032356	Rasgrf1	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000021057	Akap5	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000059003	Grin2a	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000031889	Phaf1	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000020524	Gria1	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000016933	Plcg1	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000020886	Dlg4	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000030302	Atp2b2	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000006304	Arpc2	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000026959	Grin1	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000030854	Ptpn5	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
ENSMUSG00000074736	Syndig1	GO:0035254	glutamate receptor binding	glutamate_receptor_binding
