ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000028020	Glrb	GO:0016594	glycine binding	glycine_binding
ENSMUSG00000024827	Gldc	GO:0016594	glycine binding	glycine_binding
ENSMUSG00000038257	Glra3	GO:0016594	glycine binding	glycine_binding
ENSMUSG00000018589	Glra2	GO:0016594	glycine binding	glycine_binding
ENSMUSG00000039523	Cep104	GO:0016594	glycine binding	glycine_binding
ENSMUSG00000030209	Grin2b	GO:0016594	glycine binding	glycine_binding
ENSMUSG00000002769	Gnmt	GO:0016594	glycine binding	glycine_binding
ENSMUSG00000018595	Glra4	GO:0016594	glycine binding	glycine_binding
ENSMUSG00000000263	Glra1	GO:0016594	glycine binding	glycine_binding
ENSMUSG00000035745	Grin3b	GO:0016594	glycine binding	glycine_binding
ENSMUSG00000039579	Grin3a	GO:0016594	glycine binding	glycine_binding
ENSMUSG00000026959	Grin1	GO:0016594	glycine binding	glycine_binding
ENSMUSG00000001323	Srr	GO:0016594	glycine binding	glycine_binding
ENSMUSG00000027610	Gss	GO:0016594	glycine binding	glycine_binding
