ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022812	Gsk3b	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000022490	Ppp1r1a	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000030244	Gys2	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000032648	Pygm	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000024440	Pcdh12	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000049999	Ppp1r3d	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000021069	Pygl	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000004056	Akt2	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000042717	Ppp1r3a	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000031295	Phka2	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000021756	Il6st	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000030815	Phkg2	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000047714	Ppp1r2	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000032114	Slc37a4	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000055493	Epm2a	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000024985	Tcf7l2	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000025579	Gaa	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000078650	G6pc	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000040385	Ppp1ca	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000034055	Phka1	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000001729	Akt1	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000046794	Ppp1r3b	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000067279	Ppp1r3c	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000002769	Gnmt	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000044231	Nhlrc1	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000057177	Gsk3a	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000042608	Stk40	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000028944	Prkag2	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000033400	Agl	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000036879	Phkb	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000047963	Stbd1	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000004455	Ppp1cc	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000014956	Ppp1cb	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000057722	Lepr	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000001891	Ugp2	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000025537	Phkg1	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000033059	Pygb	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
ENSMUSG00000003865	Gys1	GO:0005977	glycogen metabolic process	glycogen_metabolic_process
