ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022816	Fstl1	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000015053	Gata2	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000033542	Arhgef5	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000076431	Sox4	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000033460	Armcx1	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000027282	Mtch2	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000025776	Crispld1	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000014303	Glis2	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000040943	Tet2	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000040891	Foxa3	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000061731	Ext1	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000037362	Ccn3	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000054690	Emcn	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000027799	Nbea	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000021901	Bap1	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000046916	Myct1	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000036381	P2ry14	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000031785	Adgrg1	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000001750	Tcirg1	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000017978	Cadps2	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000072966	Gprasp2	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000027951	Adar	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000022526	Zfp251	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000020692	Nle1	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000042520	Ubap2l	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000020486	Septin4	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000059518	Znhit1	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
ENSMUSG00000026739	Bmi1	GO:0061484	hematopoietic stem cell homeostasis	hematopoietic_stem_cell_homeostasis
