ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000059363	Fxn	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000021361	Tmem14c	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000025270	Alas2	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000032786	Alas1	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000024588	Fech	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000022742	Cpox	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000054428	Atpif1	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000032126	Hmbs	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000006373	Pgrmc1	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000042148	Cox10	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000029346	Srrd	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000028684	Urod	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000023030	Slc11a2	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000031974	Abcb10	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000062729	Ppox	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000028393	Alad	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000049287	Iba57	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000030979	Uros	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000018677	Slc25a39	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
ENSMUSG00000029556	Hnf1a	GO:0006783	heme biosynthetic process	heme_biosynthetic_process
