ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000060803	Gstp1	GO:0051122	hepoxilin biosynthetic process	hepoxilin_biosynthetic_process
ENSMUSG00000038155	Gstp2	GO:0051122	hepoxilin biosynthetic process	hepoxilin_biosynthetic_process
ENSMUSG00000058216	Gstp3	GO:0051122	hepoxilin biosynthetic process	hepoxilin_biosynthetic_process
ENSMUSG00000004035	Gstm7	GO:0051122	hepoxilin biosynthetic process	hepoxilin_biosynthetic_process
ENSMUSG00000068762	Gstm6	GO:0051122	hepoxilin biosynthetic process	hepoxilin_biosynthetic_process
ENSMUSG00000004038	Gstm3	GO:0051122	hepoxilin biosynthetic process	hepoxilin_biosynthetic_process
ENSMUSG00000040562	Gstm2	GO:0051122	hepoxilin biosynthetic process	hepoxilin_biosynthetic_process
ENSMUSG00000058135	Gstm1	GO:0051122	hepoxilin biosynthetic process	hepoxilin_biosynthetic_process
ENSMUSG00000000320	Alox12	GO:0051122	hepoxilin biosynthetic process	hepoxilin_biosynthetic_process
ENSMUSG00000018924	Alox15	GO:0051122	hepoxilin biosynthetic process	hepoxilin_biosynthetic_process
ENSMUSG00000020892	Aloxe3	GO:0051122	hepoxilin biosynthetic process	hepoxilin_biosynthetic_process
ENSMUSG00000032807	Alox12b	GO:0051122	hepoxilin biosynthetic process	hepoxilin_biosynthetic_process
ENSMUSG00000020891	Alox8	GO:0051122	hepoxilin biosynthetic process	hepoxilin_biosynthetic_process
