ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000056673	Kdm5d	GO:0032452	histone demethylase activity	histone_demethylase_activity
ENSMUSG00000041229	Phf8	GO:0032452	histone demethylase activity	histone_demethylase_activity
ENSMUSG00000038025	Phf2	GO:0032452	histone demethylase activity	histone_demethylase_activity
ENSMUSG00000024201	Kdm4b	GO:0032452	histone demethylase activity	histone_demethylase_activity
ENSMUSG00000029475	Kdm2b	GO:0032452	histone demethylase activity	histone_demethylase_activity
ENSMUSG00000028397	Kdm4c	GO:0032452	histone demethylase activity	histone_demethylase_activity
ENSMUSG00000053914	Kdm4d	GO:0032452	histone demethylase activity	histone_demethylase_activity
ENSMUSG00000056962	Jmjd6	GO:0032452	histone demethylase activity	histone_demethylase_activity
ENSMUSG00000030811	Fbxl19	GO:0032452	histone demethylase activity	histone_demethylase_activity
ENSMUSG00000025332	Kdm5c	GO:0032452	histone demethylase activity	histone_demethylase_activity
ENSMUSG00000036940	Kdm1a	GO:0032452	histone demethylase activity	histone_demethylase_activity
ENSMUSG00000033326	Kdm4a	GO:0032452	histone demethylase activity	histone_demethylase_activity
ENSMUSG00000042207	Kdm5b	GO:0032452	histone demethylase activity	histone_demethylase_activity
ENSMUSG00000042599	Kdm7a	GO:0032452	histone demethylase activity	histone_demethylase_activity
ENSMUSG00000030180	Kdm5a	GO:0032452	histone demethylase activity	histone_demethylase_activity
