ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021951	Eef1akmt1	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000029687	Ezh2	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000049882	Vcpkmt	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000045098	Kmt5b	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000080115	Eef1akmt3	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000039065	Atpsckmt	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000069378	Prdm6	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000044442	N6amt1	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000030619	Eed	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000022544	Eef2kmt	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000039345	Mettl22	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000039231	Suv39h1	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000051977	Prdm9	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000034639	Setmar	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000017548	Suz12	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000025956	Mettl21a	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000049300	Prmt6	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000044791	Setd2	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000020230	Prmt2	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000037111	Setd7	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000026857	Ntmt1	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000061589	Dot1l	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000057637	Prdm2	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000030960	Eef1akmt2	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000038056	Kmt2c	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000057411	Antkmt	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000040478	Prdm13	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000032185	Carm1	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000049327	Kmt5a	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000109324	Prmt1	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000057406	Nsd2	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
ENSMUSG00000035456	Prdm8	GO:0042054	histone methyltransferase activity	histone_methyltransferase_activity
