ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021665	Hexb	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000035459	Stab2	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000002603	Tgfb1	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000037225	Fgf2	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000052353	Cemip	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000010047	Hyal2	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000010051	Hyal1	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000036091	Hyal3	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000020330	Hmmr	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000028854	Slc9a1	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000024754	Cemip2	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000025232	Hexa	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000030787	Lyve1	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000029679	Hyal6	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000029680	Hyal4	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000029682	Spam1	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000029678	Hyal5	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000005087	Cd44	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
ENSMUSG00000025534	Gusb	GO:0030214	hyaluronan catabolic process	hyaluronan_catabolic_process
