ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021322	Aoah	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000050891	Tatdn1	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000039748	Exo1	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000026048	Ercc5	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000079344	Lipo4	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000024766	Lipo3	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000086812	Gm8978	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000087303	Lipo2	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000079342	Lipo1	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000024768	Lipf	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000024771	Lipk	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000024770	Lipn	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000056078	Lipm	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000024781	Lipa	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000038208	Pgap3	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000033458	Fan1	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000073678	Pgap1	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000024742	Fen1	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000022425	Enpp2	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000021996	Esd	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000057400	Ces1c	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000034171	Faah	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000026730	Pter	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000026632	Tatdn3	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000024866	Acy3	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000037370	Enpp1	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000003123	Lipe	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000031938	4931406C07Rik	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000056952	Tatdn2	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000029134	Plb1	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000032469	Dbr1	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000032420	Nt5e	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
ENSMUSG00000020774	Aspa	GO:0016788	hydrolase activity, acting on ester bonds	hydrolase_activity,_acting_on_ester_bonds
