ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000064356	mt-Atp8	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000064357	mt-Atp6	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000069049	Eif2s3y	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000069045	Ddx3y	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000069044	Usp9y	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000025075	Habp2	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000024313	Mep1b	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000022973	Synj1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000053441	Adamts19	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000022673	Mcm4	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000054072	Iigp1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000020956	Dtd2	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000036061	Smug1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000054008	Ndst1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000021322	Aoah	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000024878	Cbwd1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000025076	Casp7	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000031591	Asah1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000056900	Usp13	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000021665	Hexb	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000022789	Dnm1l	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000036412	Arsi	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000058022	Adtrp	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000021270	Hsp90aa1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000020593	Lpin1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000048516	Adam26a	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000022453	Naga	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000033502	Cdc14a	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000031229	Atrx	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000006179	Prss16	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000027784	Ppm1l	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000022111	Uchl3	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000025269	Apex2	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000112449	Srp54b	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000024575	Pde6a	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000024910	Ctsw	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000031645	F11	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000109764	Klkb1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000024906	Mus81	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000079108	Srp54c	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000031372	Trex2	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000025271	Pfkfb1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000069516	Lyz2	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000069515	Lyz1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000027792	Bche	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000050891	Tatdn1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000024921	Smarca2	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000021982	Cdadc1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000031896	Ctrl	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000022489	Pde1b	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000057455	Rit2	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000031897	Psmb10	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000021023	Prorp	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000035237	Lcat	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000037022	Mmaa	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000020183	Cpm	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000008822	Acyp1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000036990	Otud4	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000053687	Dpep2	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000026181	Ppm1f	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000115067	Dpep2	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000024386	Proc	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000031383	Dusp9	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000019889	Ptprk	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000021987	Mtmr6	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000045538	Ddx28	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000031715	Smarca5	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000024382	Ercc3	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000058586	Serhl	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000043702	Pde12	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000020079	Supv3l1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000038250	Usp38	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000031903	Pla2g15	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000033177	Tmprss7	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000039748	Exo1	GO:0016787	hydrolase activity	hydrolase_activity
ENSMUSG00000033157	Abhd10	GO:0016787	hydrolase activity	hydrolase_activity
