ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000040703	Cyp2s1	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000028571	Cyp2j13	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000081225	Cyp2j12	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000081362	Cyp2j7	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000066097	Cyp2j11	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000082932	Cyp2j8	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000052914	Cyp2j6	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000015224	Cyp2j9	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000052520	Cyp2j5	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000024292	Cyp4f14	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000025701	Alox5	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000029925	Tbxas1	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000000320	Alox12	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000018907	Alox12e	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000017969	Ptgis	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000018924	Alox15	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000039206	Daglb	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000020892	Aloxe3	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000032807	Alox12b	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
ENSMUSG00000020891	Alox8	GO:0006690	icosanoid metabolic process	icosanoid_metabolic_process
