ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000039419	Cntnap2	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
ENSMUSG00000000560	Gabra2	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
ENSMUSG00000007594	Hapln4	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
ENSMUSG00000031137	Fgf13	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
ENSMUSG00000020436	Gabrg2	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
ENSMUSG00000010803	Gabra1	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
ENSMUSG00000007653	Gabrb2	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
ENSMUSG00000026425	Srgap2	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
ENSMUSG00000032452	Clstn2	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
ENSMUSG00000053646	Plxnb1	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
ENSMUSG00000045903	Npas4	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
ENSMUSG00000039252	Lgi2	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
ENSMUSG00000033676	Gabrb3	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
ENSMUSG00000067578	Cbln4	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
ENSMUSG00000051790	Nlgn2	GO:1904862	inhibitory synapse assembly	inhibitory_synapse_assembly
