ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000008590	Htr3b	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000030247	Kcnj8	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000030249	Abcc9	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000029470	P2rx4	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000034462	Pkd2	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000022094	Slc39a14	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000037578	Pkd2l1	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000031543	Ank1	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000024112	Cacna1h	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000059412	Fxyd2	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000020704	Asic2	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000023017	Asic1	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000023926	Rhag	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000004988	Fxyd4	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000038276	Asic3	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000031791	Tmem38a	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000000216	Scnn1g	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000030873	Scnn1b	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000030340	Scnn1a	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000096146	Kcnj11	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000038260	Trpm4	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
ENSMUSG00000027071	P2rx3	GO:0098662	inorganic cation transmembrane transport	inorganic_cation_transmembrane_transport
