ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024122	Pdpk1	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000020053	Igf1	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000041417	Pik3r1	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000032740	Ccdc88a	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000034484	Snx2	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000005533	Igf1r	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000054667	Irs4	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000073725	Lmbrd1	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000035804	Ins1	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000038894	Irs2	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000022808	Snx4	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000037370	Enpp1	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000022892	App	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000042626	Shc1	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000033295	Ptprf	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000027690	Slc2a2	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000027646	Src	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000032382	Snx1	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000016933	Plcg1	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000043733	Ptpn11	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000055980	Irs1	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000020176	Grb10	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000000215	Ins2	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000027540	Ptpn1	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000047182	Irs3	GO:0005158	insulin receptor binding	insulin_receptor_binding
ENSMUSG00000048583	Igf2	GO:0005158	insulin receptor binding	insulin_receptor_binding
