ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031993	Snx19	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000024256	Adcyap1	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000025094	Slc18a2	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000031255	Sytl4	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000047259	Mc4r	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000051209	Gpr119	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000022938	Fam3b	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000047591	Mafa	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000020538	Srebf1	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000032872	Cyb5r4	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000047415	Gpr68	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000037386	Rims2	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000024563	Smad2	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000039714	Cplx3	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000022315	Slc30a8	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000033615	Cplx1	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000029644	Pdx1	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000021814	Anxa7	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000027808	Serp1	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000024659	Anxa1	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000061601	Pclo	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000020635	Fkbp1b	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000049044	Rapgef4	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000059201	Lep	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000024027	Glp1r	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000022555	Dgat1	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000027882	Stxbp3	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000031840	Rab3a	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000067786	Nnat	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000020679	Hnf1b	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000051331	Cacna1c	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000044453	Ffar1	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000061393	Acvr2b	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000045038	Prkce	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000029193	Cckar	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000034593	Myo5a	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000034701	Neurod1	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000007207	Stx1a	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000026204	Ptprn	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000028964	Park7	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000040612	Ildr2	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000027273	Snap25	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000037428	Vgf	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000026834	Acvr1c	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000065818	Snord35a	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000065878	Snord34	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00002076766	Snord33	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000065219	Snord32a	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000029556	Hnf1a	GO:0030073	insulin secretion	insulin_secretion
ENSMUSG00000026981	Il1rn	GO:0030073	insulin secretion	insulin_secretion
