ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000005864	Cnga2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000031340	Gabre	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000031343	Gabra3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000031344	Gabrq	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000038498	Catsper1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000047298	Kcnv2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000032269	Htr3a	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000008590	Htr3b	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000033981	Gria2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000022758	P2rx6	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000028020	Glrb	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000001986	Gria3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000035580	Kcnh8	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000027716	Trpc3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000022041	Chrna2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000056258	Kcnq3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000015968	Cacna1d	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000030525	Chrna7	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000001260	Gabrg1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000000560	Gabra2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000029211	Gabra4	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000029468	P2rx7	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000029212	Gabrb1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000029470	P2rx4	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000004110	Cacna1e	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000030523	Trpm1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000067220	Cnga1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000048677	Tpcn2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000000197	Nalcn	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000034656	Cacna1a	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000059742	Kcnh7	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000074991	Gabrr3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000038257	Glra3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000035594	Chrna5	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000032303	Chrna3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000035200	Chrnb4	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000004319	Clcn3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000047197	Gjd3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000032313	Tmem266	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000056073	Grik2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000031142	Cacna1f	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000050963	Kcns2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000030287	Itpr2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000032769	Trpa1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000092083	Kcnb2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000062785	Kcnc3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000022935	Grik1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000031997	Trpc6	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000027748	Trpc4	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000020159	Gabrp	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000022342	Kcnv1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000027577	Chrna4	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000034402	Kcnh5	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000045534	Kcna5	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000047976	Kcna1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000038077	Kcna6	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000028033	Kcnq5	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000035355	Kcnh4	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000024112	Cacna1h	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000032017	Grik4	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000026251	Chrnd	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000026253	Chrng	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000037579	Kcnh3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000020436	Gabrg2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000010803	Gabra1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000020428	Gabra6	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000021499	Catsper3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000007653	Gabrb2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000018589	Glra2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000023033	Scn8a	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000041710	Trpc5	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000024727	Trpm6	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000021730	Hcn1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000021541	Trpc7	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000032839	Trpc1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000021313	Ryr2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000060882	Kcnd2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000032338	Hcn4	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000035681	Kcnc2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000016346	Kcnq2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000052387	Trpm3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000042644	Itpr3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000022416	Cacna1i	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000029503	P2rx2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000048003	Catsper4	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000059852	Kcng2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000033486	Catsper2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000041078	Grid1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000045053	Kcng3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000058248	Kcnh1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000043673	Kcns3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000059003	Grin2a	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000040896	Kcnd3	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000018507	Trpv2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000029054	Gabrd	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000030102	Itpr1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000030209	Grin2b	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000063142	Kcnma1	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000071424	Grid2	GO:0005216	ion channel activity	ion_channel_activity
ENSMUSG00000051726	Kcnf1	GO:0005216	ion channel activity	ion_channel_activity
