ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000005864	Cnga2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000031340	Gabre	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000031343	Gabra3	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000031344	Gabrq	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000038498	Catsper1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000041482	Piezo2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000032269	Htr3a	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000008590	Htr3b	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000033981	Gria2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000028020	Glrb	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000030247	Kcnj8	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000001986	Gria3	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000038366	Lasp1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000032034	Kcnj5	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000022041	Chrna2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000063698	Sfxn4	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000056258	Kcnq3	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000015968	Cacna1d	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000030525	Chrna7	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000001260	Gabrg1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000000560	Gabra2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000029211	Gabra4	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000029468	P2rx7	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000029212	Gabrb1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000029470	P2rx4	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000004110	Cacna1e	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000030523	Trpm1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000048677	Tpcn2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000000197	Nalcn	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000034656	Cacna1a	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000059742	Kcnh7	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000043301	Kcnj6	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000062609	Kcnj15	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000074991	Gabrr3	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000038257	Glra3	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000021474	Sfxn1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000035594	Chrna5	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000032303	Chrna3	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000035200	Chrnb4	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000047197	Gjd3	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000056073	Grik2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000032769	Trpa1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000026519	Tmem63a	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000022935	Grik1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000028096	Gpr89	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000049281	Scn3b	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000022843	Clcn2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000055691	Gja6	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000020159	Gabrp	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000027577	Chrna4	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000050953	Gja1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000034659	Tmem109	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000028033	Kcnq5	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000024112	Cacna1h	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000032017	Grik4	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000026251	Chrnd	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000026253	Chrng	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000042529	Kcnj12	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000020436	Gabrg2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000010803	Gabra1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000020428	Gabra6	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000021499	Catsper3	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000007653	Gabrb2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000050106	Tmc8	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000018589	Glra2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000028931	Kcnab2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000025036	Sfxn2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000023033	Scn8a	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000079258	Calhm1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000094219	Calhm3	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000021313	Ryr2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000079436	Kcnj13	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000035681	Kcnc2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000016346	Kcnq2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000044216	Kcnj4	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000023959	Clic5	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000048003	Catsper4	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000033486	Catsper2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000037242	Clic4	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000041078	Grid1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000029054	Gabrd	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000027827	Kcnab1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000022949	Clic6	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000036960	Clca2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000037996	Slc24a2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000033720	Sfxn5	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000063142	Kcnma1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000071424	Grid2	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000025212	Sfxn3	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000004285	Atp6v1f	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000015340	Cybb	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
ENSMUSG00000027107	Chrna1	GO:0034220	ion transmembrane transport	ion_transmembrane_transport
