ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000059363	Fxn	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000031333	Abcb7	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000006611	Hfe	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000022032	Scara5	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000015653	Steap2	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000015652	Steap1	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000012428	Steap4	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000034248	Slc25a37	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000093954	Gm16867	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000022094	Slc39a14	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000061273	Mmgt1	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000040414	Slc25a28	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000022780	Meltf	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000031209	Heph	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000022797	Tfrc	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000032554	Trf	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000023030	Slc11a2	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000032496	Ltf	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000022199	Slc22a17	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000026389	Steap3	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000050440	Hamp	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000025993	Slc40a1	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000026177	Slc11a1	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
ENSMUSG00000026822	Lcn2	GO:0034755	iron ion transmembrane transport	iron_ion_transmembrane_transport
