ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000061048	Cdh3	GO:0031424	keratinization	keratinization
ENSMUSG00000068075	Gm10229	GO:0031424	keratinization	keratinization
ENSMUSG00000058172	Krtap6-1	GO:0031424	keratinization	keratinization
ENSMUSG00000068074	Gm10228	GO:0031424	keratinization	keratinization
ENSMUSG00000062400	Krtap6-5	GO:0031424	keratinization	keratinization
ENSMUSG00000068073	1110025L11Rik	GO:0031424	keratinization	keratinization
ENSMUSG00000053797	Krt16	GO:0031424	keratinization	keratinization
ENSMUSG00000035557	Krt17	GO:0031424	keratinization	keratinization
ENSMUSG00000047281	Sfn	GO:0031424	keratinization	keratinization
ENSMUSG00000022986	Krt75	GO:0031424	keratinization	keratinization
ENSMUSG00000064232	Gm5414	GO:0031424	keratinization	keratinization
ENSMUSG00000095241	Gm5478	GO:0031424	keratinization	keratinization
ENSMUSG00000058354	Krt6a	GO:0031424	keratinization	keratinization
ENSMUSG00000061527	Krt5	GO:0031424	keratinization	keratinization
ENSMUSG00000051879	Krt71	GO:0031424	keratinization	keratinization
ENSMUSG00000056605	Krt72	GO:0031424	keratinization	keratinization
ENSMUSG00000063661	Krt73	GO:0031424	keratinization	keratinization
ENSMUSG00000064201	Krt2	GO:0031424	keratinization	keratinization
ENSMUSG00000046834	Krt1	GO:0031424	keratinization	keratinization
ENSMUSG00000067594	Krt77	GO:0031424	keratinization	keratinization
ENSMUSG00000075402	Krt76	GO:0031424	keratinization	keratinization
ENSMUSG00000059668	Krt4	GO:0031424	keratinization	keratinization
ENSMUSG00000061397	Krt79	GO:0031424	keratinization	keratinization
ENSMUSG00000050463	Krt78	GO:0031424	keratinization	keratinization
ENSMUSG00000022552	Sharpin	GO:0031424	keratinization	keratinization
ENSMUSG00000067614	Krt86	GO:0031424	keratinization	keratinization
ENSMUSG00000067613	Krt83	GO:0031424	keratinization	keratinization
ENSMUSG00000116336	Gm49425	GO:0031424	keratinization	keratinization
ENSMUSG00000044294	Krt84	GO:0031424	keratinization	keratinization
ENSMUSG00000049548	Krt82	GO:0031424	keratinization	keratinization
ENSMUSG00000048699	Krt90	GO:0031424	keratinization	keratinization
ENSMUSG00000043165	Lor	GO:0031424	keratinization	keratinization
ENSMUSG00000057609	Lce1a1	GO:0031424	keratinization	keratinization
ENSMUSG00000027923	Lce1b	GO:0031424	keratinization	keratinization
ENSMUSG00000068890	Lce1a2	GO:0031424	keratinization	keratinization
ENSMUSG00000042092	Lce1c	GO:0031424	keratinization	keratinization
ENSMUSG00000103243	Lce1d	GO:0031424	keratinization	keratinization
ENSMUSG00000068889	Lce1e	GO:0031424	keratinization	keratinization
ENSMUSG00000042124	Lce1f	GO:0031424	keratinization	keratinization
ENSMUSG00000027919	Lce1g	GO:0031424	keratinization	keratinization
ENSMUSG00000049593	Lce1h	GO:0031424	keratinization	keratinization
ENSMUSG00000068888	Lce1i	GO:0031424	keratinization	keratinization
ENSMUSG00000068887	Lce1j	GO:0031424	keratinization	keratinization
ENSMUSG00000095870	Lce1k	GO:0031424	keratinization	keratinization
ENSMUSG00000046676	Lce1l	GO:0031424	keratinization	keratinization
ENSMUSG00000054325	Lce3a	GO:0031424	keratinization	keratinization
ENSMUSG00000042031	Lce3b	GO:0031424	keratinization	keratinization
ENSMUSG00000045475	Lce3c	GO:0031424	keratinization	keratinization
ENSMUSG00000043472	Lce3d	GO:0031424	keratinization	keratinization
ENSMUSG00000074433	Lce3e	GO:0031424	keratinization	keratinization
ENSMUSG00000068885	Lce3f	GO:0031424	keratinization	keratinization
ENSMUSG00000027912	Lce1m	GO:0031424	keratinization	keratinization
ENSMUSG00000037185	Krt80	GO:0031424	keratinization	keratinization
ENSMUSG00000023039	Krt7	GO:0031424	keratinization	keratinization
ENSMUSG00000047641	Krt87	GO:0031424	keratinization	keratinization
ENSMUSG00000067615	Krt81	GO:0031424	keratinization	keratinization
ENSMUSG00000050296	Abca12	GO:0031424	keratinization	keratinization
ENSMUSG00000042212	Sprr2d	GO:0031424	keratinization	keratinization
ENSMUSG00000055030	Sprr2e	GO:0031424	keratinization	keratinization
ENSMUSG00000050635	Sprr2f	GO:0031424	keratinization	keratinization
ENSMUSG00000046259	Sprr2h	GO:0031424	keratinization	keratinization
ENSMUSG00000042157	Sprr2i	GO:0031424	keratinization	keratinization
ENSMUSG00000027925	Sprr2j-ps	GO:0031424	keratinization	keratinization
ENSMUSG00000048455	Sprr1b	GO:0031424	keratinization	keratinization
ENSMUSG00000045539	Sprr3	GO:0031424	keratinization	keratinization
ENSMUSG00000050359	Sprr1a	GO:0031424	keratinization	keratinization
ENSMUSG00000045566	Sprr4	GO:0031424	keratinization	keratinization
ENSMUSG00000049128	Ivl	GO:0031424	keratinization	keratinization
ENSMUSG00000103523	2210017I01Rik	GO:0031424	keratinization	keratinization
ENSMUSG00000040606	Kazn	GO:0031424	keratinization	keratinization
ENSMUSG00000063651	Cnfn	GO:0031424	keratinization	keratinization
ENSMUSG00000030205	Gprc5d	GO:0031424	keratinization	keratinization
ENSMUSG00000027399	Il1a	GO:0031424	keratinization	keratinization
ENSMUSG00000027401	Tgm3	GO:0031424	keratinization	keratinization
ENSMUSG00000034282	Evpl	GO:0031424	keratinization	keratinization
