ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000076431	Sox4	GO:0060993	kidney morphogenesis	kidney_morphogenesis
ENSMUSG00000035725	Prkx	GO:0060993	kidney morphogenesis	kidney_morphogenesis
ENSMUSG00000027803	Wwtr1	GO:0060993	kidney morphogenesis	kidney_morphogenesis
ENSMUSG00000038843	Gcnt1	GO:0060993	kidney morphogenesis	kidney_morphogenesis
ENSMUSG00000091387	Gcnt4	GO:0060993	kidney morphogenesis	kidney_morphogenesis
ENSMUSG00000036856	Wnt4	GO:0060993	kidney morphogenesis	kidney_morphogenesis
ENSMUSG00000032558	Nphp3	GO:0060993	kidney morphogenesis	kidney_morphogenesis
ENSMUSG00000068122	Agtr2	GO:0060993	kidney morphogenesis	kidney_morphogenesis
ENSMUSG00000018486	Wnt9b	GO:0060993	kidney morphogenesis	kidney_morphogenesis
ENSMUSG00000043207	Zmpste24	GO:0060993	kidney morphogenesis	kidney_morphogenesis
ENSMUSG00000020679	Hnf1b	GO:0060993	kidney morphogenesis	kidney_morphogenesis
ENSMUSG00000032226	Gcnt3	GO:0060993	kidney morphogenesis	kidney_morphogenesis
ENSMUSG00000026556	Vangl2	GO:0060993	kidney morphogenesis	kidney_morphogenesis
