ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000052085	Dock8	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000056201	Cfl1	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000000392	Fap	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000032911	Cspg4	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000063450	Syne2	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000030403	Vasp	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000021118	Plek2	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000024270	Slc39a6	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000037712	Fermt2	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000006699	Cdc42	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000116165	Pdxp	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000030123	Plxnd1	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000020689	Itgb3	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000020135	Apc2	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000040724	Kcna2	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000006445	Epha2	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000028583	Pdpn	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000027002	Nckap1	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000027087	Itgav	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000005087	Cd44	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000033420	Antxr1	GO:0031258	lamellipodium membrane	lamellipodium_membrane
ENSMUSG00000035000	Dpp4	GO:0031258	lamellipodium membrane	lamellipodium_membrane
