ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031904	Slc7a6	GO:0015820	leucine transport	leucine_transport
ENSMUSG00000038178	Slc43a2	GO:0015820	leucine transport	leucine_transport
ENSMUSG00000020782	Llgl2	GO:0015820	leucine transport	leucine_transport
ENSMUSG00000019894	Slc6a15	GO:0015820	leucine transport	leucine_transport
ENSMUSG00000000958	Slc7a7	GO:0015820	leucine transport	leucine_transport
ENSMUSG00000010095	Slc3a2	GO:0015820	leucine transport	leucine_transport
ENSMUSG00000040010	Slc7a5	GO:0015820	leucine transport	leucine_transport
ENSMUSG00000022180	Slc7a8	GO:0015820	leucine transport	leucine_transport
ENSMUSG00000027894	Slc6a17	GO:0015820	leucine transport	leucine_transport
ENSMUSG00000027075	Slc43a1	GO:0015820	leucine transport	leucine_transport
