ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000001741	Il16	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000051212	Gpr183	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000047880	Cxcr5	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000062585	Cnr2	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000045092	S1pr1	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000054400	Cklf	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000029373	Pf4	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000058427	Cxcl2	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000056071	S100a9	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000052336	Cx3cr1	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000025804	Ccr1	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000095675	Ccl21b	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000096596	Gm10591	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000000982	Ccl3	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000018930	Ccl4	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000094065	Ccl21d	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000073878	Gm13304	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000030707	Coro1a	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000025337	Sbds	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
ENSMUSG00000071866	Ppia	GO:0030595	leukocyte chemotaxis	leukocyte_chemotaxis
