ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022708	Zbtb20	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000041957	Pkp2	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000035283	Adrb1	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000023992	Trem2	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000028132	Tlcd4	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000018868	Pnpla5	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000024781	Lipa	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000014867	Surf4	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000026317	Cln8	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000069808	Tlcd3a	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000060601	Nr1h2	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000020777	Acox1	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000027282	Mtch2	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000042476	Abcb4	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000036257	Pnpla8	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000027048	Abcb11	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000039224	D1Pas1	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000029098	Acox3	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000000787	Ddx3x	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000046402	Rbp1	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000002985	Apoe	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000078650	G6pc	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000040997	Abhd4	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000024251	Thada	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000002108	Nr1h3	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000037071	Scd1	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000043286	Pnpla1	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000021044	Adck1	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000021669	Cert1	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000021775	Nr1d2	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000032080	Apoa4	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000028553	Angptl3	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000021751	Acox2	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000050296	Abca12	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000036622	Atp13a2	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000020532	Acaca	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000037924	Or10j5	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000026641	Usf1	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000058239	Usf2	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000048486	Fitm2	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000017950	Hnf4a	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000040963	Asgr2	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000032540	Abhd5	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000034957	Cebpa	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000025509	Pnpla2	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000058966	Tlcd3b	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000020386	Sar1b	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000041798	Gck	GO:0055088	lipid homeostasis	lipid_homeostasis
ENSMUSG00000027380	Acoxl	GO:0055088	lipid homeostasis	lipid_homeostasis
