ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024773	Atg2a	GO:0120013	lipid transfer activity	lipid_transfer_activity
ENSMUSG00000019951	Uhrf1bp1l	GO:0120013	lipid transfer activity	lipid_transfer_activity
ENSMUSG00000024526	Cidea	GO:0120013	lipid transfer activity	lipid_transfer_activity
ENSMUSG00000041341	Atg2b	GO:0120013	lipid transfer activity	lipid_transfer_activity
ENSMUSG00000005225	Plekha8	GO:0120013	lipid transfer activity	lipid_transfer_activity
ENSMUSG00000022219	Cideb	GO:0120013	lipid transfer activity	lipid_transfer_activity
ENSMUSG00000011884	Gltp	GO:0120013	lipid transfer activity	lipid_transfer_activity
ENSMUSG00000028158	Mttp	GO:0120013	lipid transfer activity	lipid_transfer_activity
ENSMUSG00000046811	Gltpd2	GO:0120013	lipid transfer activity	lipid_transfer_activity
ENSMUSG00000073988	Ttpa	GO:0120013	lipid transfer activity	lipid_transfer_activity
ENSMUSG00000030278	Cidec	GO:0120013	lipid transfer activity	lipid_transfer_activity
ENSMUSG00000029073	Cptp	GO:0120013	lipid transfer activity	lipid_transfer_activity
