ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021025	Nfkbia	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000063358	Mapk1	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000023992	Trem2	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000039217	Il18	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000051439	Cd14	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000021624	Cd180	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000002603	Tgfb1	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000047123	Ticam1	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000032688	Malt1	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000031392	Irak1	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000022255	Mtdh	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000039005	Tlr4	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000021423	Ly86	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000034330	Plcg2	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000005893	Nr2c2	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000025779	Ly96	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000056529	Ptafr	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000002111	Spi1	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000024670	Cd6	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000056130	Ticam2	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000027843	Ptpn22	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
ENSMUSG00000049625	Tifab	GO:0031663	lipopolysaccharide-mediated signaling pathway	lipopolysaccharide-mediated_signaling_pathway
