ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000035451	Foxa1	GO:0060487	lung epithelial cell differentiation	lung_epithelial_cell_differentiation
ENSMUSG00000021067	Sav1	GO:0060487	lung epithelial cell differentiation	lung_epithelial_cell_differentiation
ENSMUSG00000053110	Yap1	GO:0060487	lung epithelial cell differentiation	lung_epithelial_cell_differentiation
ENSMUSG00000022286	Grhl2	GO:0060487	lung epithelial cell differentiation	lung_epithelial_cell_differentiation
ENSMUSG00000006932	Ctnnb1	GO:0060487	lung epithelial cell differentiation	lung_epithelial_cell_differentiation
ENSMUSG00000000567	Sox9	GO:0060487	lung epithelial cell differentiation	lung_epithelial_cell_differentiation
ENSMUSG00000028420	Tmem38b	GO:0060487	lung epithelial cell differentiation	lung_epithelial_cell_differentiation
ENSMUSG00000033953	Ppp3r1	GO:0060487	lung epithelial cell differentiation	lung_epithelial_cell_differentiation
ENSMUSG00000058454	Dhcr7	GO:0060487	lung epithelial cell differentiation	lung_epithelial_cell_differentiation
ENSMUSG00000037025	Foxa2	GO:0060487	lung epithelial cell differentiation	lung_epithelial_cell_differentiation
