ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000017288	Vps53	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000074899	Sptbn5	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000029571	Tmem106b	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000024413	Npc1	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000023830	Igf2r	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000026024	Als2	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000024797	Vps51	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000046675	Tmem251	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000024319	Vps52	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000036622	Atp13a2	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000037260	Hgsnat	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000091971	Hspa1a	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000032216	Nedd4	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000004207	Psap	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000007458	M6pr	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000020128	Vps54	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000044254	Pcsk9	GO:0007041	lysosomal transport	lysosomal_transport
ENSMUSG00000034708	Grn	GO:0007041	lysosomal transport	lysosomal_transport
