ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022982	Sod1	GO:0005764	lysosome	lysosome
ENSMUSG00000032656	Marchf3	GO:0005764	lysosome	lysosome
ENSMUSG00000050875	Minar2	GO:0005764	lysosome	lysosome
ENSMUSG00000073131	Vma21	GO:0005764	lysosome	lysosome
ENSMUSG00000021242	Npc2	GO:0005764	lysosome	lysosome
ENSMUSG00000024610	Cd74	GO:0005764	lysosome	lysosome
ENSMUSG00000022967	Ifnar1	GO:0005764	lysosome	lysosome
ENSMUSG00000022367	Has2	GO:0005764	lysosome	lysosome
ENSMUSG00000031591	Asah1	GO:0005764	lysosome	lysosome
ENSMUSG00000052459	Atp6v1a	GO:0005764	lysosome	lysosome
ENSMUSG00000021665	Hexb	GO:0005764	lysosome	lysosome
ENSMUSG00000022453	Naga	GO:0005764	lysosome	lysosome
ENSMUSG00000024620	Pdgfrb	GO:0005764	lysosome	lysosome
ENSMUSG00000006179	Prss16	GO:0005764	lysosome	lysosome
ENSMUSG00000022125	Cln5	GO:0005764	lysosome	lysosome
ENSMUSG00000031903	Pla2g15	GO:0005764	lysosome	lysosome
ENSMUSG00000020078	Vps26a	GO:0005764	lysosome	lysosome
ENSMUSG00000020077	Srgn	GO:0005764	lysosome	lysosome
ENSMUSG00000061175	Fnip2	GO:0005764	lysosome	lysosome
ENSMUSG00000031913	Vps4a	GO:0005764	lysosome	lysosome
ENSMUSG00000016534	Lamp2	GO:0005764	lysosome	lysosome
ENSMUSG00000031378	Abcd1	GO:0005764	lysosome	lysosome
ENSMUSG00000024107	Lhcgr	GO:0005764	lysosome	lysosome
ENSMUSG00000045322	Tlr9	GO:0005764	lysosome	lysosome
ENSMUSG00000021939	Ctsb	GO:0005764	lysosome	lysosome
ENSMUSG00000020740	Gga3	GO:0005764	lysosome	lysosome
ENSMUSG00000028015	Ctso	GO:0005764	lysosome	lysosome
ENSMUSG00000041737	Tmem45b	GO:0005764	lysosome	lysosome
ENSMUSG00000045374	Wdr81	GO:0005764	lysosome	lysosome
ENSMUSG00000024121	Atp6v0c	GO:0005764	lysosome	lysosome
ENSMUSG00000023122	Sult1c2	GO:0005764	lysosome	lysosome
ENSMUSG00000049624	Slc17a5	GO:0005764	lysosome	lysosome
ENSMUSG00000020057	Dram1	GO:0005764	lysosome	lysosome
ENSMUSG00000038195	Rilp	GO:0005764	lysosome	lysosome
ENSMUSG00000032060	Cryab	GO:0005764	lysosome	lysosome
ENSMUSG00000028991	Mtor	GO:0005764	lysosome	lysosome
ENSMUSG00000031447	Lamp1	GO:0005764	lysosome	lysosome
ENSMUSG00000028618	Tmem59	GO:0005764	lysosome	lysosome
ENSMUSG00000019578	Ubxn6	GO:0005764	lysosome	lysosome
ENSMUSG00000024130	Abca3	GO:0005764	lysosome	lysosome
ENSMUSG00000030741	Spns1	GO:0005764	lysosome	lysosome
ENSMUSG00000037548	H2-DMb2	GO:0005764	lysosome	lysosome
ENSMUSG00000069662	Marcks	GO:0005764	lysosome	lysosome
ENSMUSG00000022750	Klhl22	GO:0005764	lysosome	lysosome
ENSMUSG00000039013	Siglecf	GO:0005764	lysosome	lysosome
