ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000038132	Rbm24	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000027680	Fxr1	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000027714	Exosc9	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000036698	Ago2	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000007670	Khsrp	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000028546	Elavl4	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000078060	Mir466l	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000031754	Nudt21	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000021127	Zfp36l1	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000040028	Elavl1	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000027770	Dhx36	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000045817	Zfp36l2	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000059334	Zfp36l3	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000007836	Hnrnpa0	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000039652	Cpeb3	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000030846	Tial1	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000034259	Exosc4	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000034022	Cpsf1	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000025586	Cpeb1	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000003410	Elavl3	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000027752	Exosc8	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000048696	Mex3d	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000042677	Zc3h12a	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000039607	Rbms3	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000071337	Tia1	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000032178	Ilf3	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000000568	Hnrnpd	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000040613	Apobec1	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
ENSMUSG00000044786	Zfp36	GO:0035925	mRNA 3'-UTR AU-rich region binding	mRNA_3'-UTR_AU-rich_region_binding
