ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000055531	Cpsf6	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000024400	Wdr33	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000054309	Cpsf3	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000053536	Cstf2t	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000031256	Cstf2	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000029625	Cpsf4	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000075600	Zc3h3	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000041781	Cpsf2	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000029227	Fip1l1	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000034820	Cpsf7	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000023118	Sympk	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000031754	Nudt21	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000024576	Csnk1a1	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000071645	Tut1	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000034022	Cpsf1	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000028126	Pip5k1a	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000018727	Cpsf4l	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
ENSMUSG00000029038	Ssu72	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	mRNA_cleavage_and_polyadenylation_specificity_factor_complex
