ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021245	Mlh3	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000054003	Tdrd9	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000034218	Atm	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000024905	Tesmin	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000060445	Sycp2	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000052525	Spdya	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000021758	Ddx4	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000026039	Sgo2a	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000059970	Hspa2	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000010796	Asz1	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000009670	Tex11	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000009628	Tex15	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000050623	Catsperz	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000063415	Cyp26b1	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000023977	Ubr2	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000039337	Tex19.2	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000039329	Tex19.1	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000041912	Tdrkh	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000032815	Fanca	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000032498	Mlh1	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000042500	Ago4	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000024155	Meiob	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000010342	Tex14	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000030491	Tdrd12	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000027115	Kif18a	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000035455	Fignl1	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000040629	Mael	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000029279	Brdt	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
ENSMUSG00000062132	Arhgap33os	GO:0007140	male meiotic nuclear division	male_meiotic_nuclear_division
