ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000069036	Sry	GO:0030238	male sex determination	male_sex_determination
ENSMUSG00000024837	Dmrt1	GO:0030238	male sex determination	male_sex_determination
ENSMUSG00000021974	Fgf9	GO:0030238	male sex determination	male_sex_determination
ENSMUSG00000024949	Sf1	GO:0030238	male sex determination	male_sex_determination
ENSMUSG00000034460	Six4	GO:0030238	male sex determination	male_sex_determination
ENSMUSG00000005534	Insr	GO:0030238	male sex determination	male_sex_determination
ENSMUSG00000025056	Nr0b1	GO:0030238	male sex determination	male_sex_determination
ENSMUSG00000071489	Ptgdr	GO:0030238	male sex determination	male_sex_determination
ENSMUSG00000023000	Dhh	GO:0030238	male sex determination	male_sex_determination
ENSMUSG00000015812	Gnrh1	GO:0030238	male sex determination	male_sex_determination
ENSMUSG00000005640	Insrr	GO:0030238	male sex determination	male_sex_determination
ENSMUSG00000000567	Sox9	GO:0030238	male sex determination	male_sex_determination
ENSMUSG00000026751	Nr5a1	GO:0030238	male sex determination	male_sex_determination
